Plot_ID,Rep,Rep_Position,Strip,Rate_lbN_ac,Acres,v_south_ft,v_north_ft,u_west_ft,u_east_ft,SW_Lat,SW_Lon,NE_Lat,NE_Lon
R1-S1-200N,1,NW,1,200,0.551,690.0,750.0,-688.0,-288.0,42.5643945,-89.1108916,42.5645327,-89.1094019
R1-S2-50N,1,NW,2,50,0.551,750.0,810.0,-688.0,-288.0,42.5645591,-89.1108863,42.5646973,-89.1093966
R1-S3-150N,1,NW,3,150,0.551,810.0,870.0,-688.0,-288.0,42.5647237,-89.1108809,42.5648619,-89.1093912
R1-S4-250N,1,NW,4,250,0.551,870.0,930.0,-688.0,-288.0,42.5648883,-89.1108756,42.5650265,-89.1093858
R1-S5-100N,1,NW,5,100,0.551,930.0,990.0,-688.0,-288.0,42.5650529,-89.1108702,42.5651911,-89.1093805
R1-S6-0N,1,NW,6,0,0.551,990.0,1050.0,-688.0,-288.0,42.5652175,-89.1108649,42.5653557,-89.1093751
R2-S1-250N,2,NE,1,250,0.551,690.0,750.0,-288.0,112.0,42.5643681,-89.1094073,42.5645063,-89.1079175
R2-S2-100N,2,NE,2,100,0.551,750.0,810.0,-288.0,112.0,42.5645327,-89.1094019,42.5646709,-89.1079122
R2-S3-0N,2,NE,3,0,0.551,810.0,870.0,-288.0,112.0,42.5646973,-89.1093966,42.5648355,-89.1079068
R2-S4-50N,2,NE,4,50,0.551,870.0,930.0,-288.0,112.0,42.5648619,-89.1093912,42.5650001,-89.1079015
R2-S5-150N,2,NE,5,150,0.551,930.0,990.0,-288.0,112.0,42.5650265,-89.1093858,42.5651647,-89.1078961
R2-S6-200N,2,NE,6,200,0.551,990.0,1050.0,-288.0,112.0,42.5651911,-89.1093805,42.5653293,-89.1078907
R3-S1-0N,3,SW,1,0,0.551,330.0,390.0,-439.0,-39.0,42.5633906,-89.1099998,42.5635287,-89.10851
R3-S2-150N,3,SW,2,150,0.551,390.0,450.0,-439.0,-39.0,42.5635551,-89.1099944,42.5636933,-89.1085047
R3-S3-250N,3,SW,3,250,0.551,450.0,510.0,-439.0,-39.0,42.5637197,-89.109989,42.5638579,-89.1084993
R3-S4-100N,3,SW,4,100,0.551,510.0,570.0,-439.0,-39.0,42.5638843,-89.1099837,42.5640225,-89.108494
R3-S5-200N,3,SW,5,200,0.551,570.0,630.0,-439.0,-39.0,42.5640489,-89.1099783,42.5641871,-89.1084886
R3-S6-50N,3,SW,6,50,0.551,630.0,690.0,-439.0,-39.0,42.5642135,-89.109973,42.5643517,-89.1084833
R4-S1-50N,4,SE,1,50,0.551,330.0,390.0,-39.0,361.0,42.5633642,-89.1085154,42.5635023,-89.1070257
R4-S2-200N,4,SE,2,200,0.551,390.0,450.0,-39.0,361.0,42.5635287,-89.10851,42.5636669,-89.1070203
R4-S3-100N,4,SE,3,100,0.551,450.0,510.0,-39.0,361.0,42.5636933,-89.1085047,42.5638315,-89.107015
R4-S4-0N,4,SE,4,0,0.551,510.0,570.0,-39.0,361.0,42.5638579,-89.1084993,42.5639961,-89.1070096
R4-S5-150N,4,SE,5,150,0.551,570.0,630.0,-39.0,361.0,42.5640225,-89.108494,42.5641607,-89.1070042
R4-S6-250N,4,SE,6,250,0.551,630.0,690.0,-39.0,361.0,42.5641871,-89.1084886,42.5643253,-89.1069989
